VALID,TURB,LAT,LON,color
202409011058,NEG,36.2777,-83.6726,b
202409011058,NEG,48.1146,-98.9083,b
202409011100,OCNL LGT CHOP,35.7855,-86.6892,g
202409011101,CONS MOD,31.8111,-106.3758,y
202409011101,LGT CHOP,27.8339,-79.0202,g
202409011101,NEG,29.0791,-85.3603,b
202409011101,OCNL LT CHOP,32.8262,-116.9724,k
202409011103,CONS LGT CHOP,33.9727,-85.8881,g
202409011104,NEG,33.3623,-84.8252,b
202409011105,NEG,27.3937,-81.7732,b
202409011105,LGT CHOP,41.28,-73.58,g
202409011106,NEG,36.1,-119.59,b
202409011106,CONS LGT CHOP INTMT LGT,31.8111,-105.3951,g
202409011106,NEG,36.4965,-80.9586,b
202409011106,NEG,34.7,-83.3,b
202409011108,NO,44.4496,-68.945,k
202409011108,NEG,35.79,-83.05,b
202409011110,SMOOTH,25.788,-80.5391,k
202409011111,NEG,44.0031,-69.3172,b
202409011112,NEG,43.7748,-98.0386,b
202409011112,NEG,27.9461,-80.7099,b
202409011112,LIGHT CHOP,25.9059,-80.186,k
202409011113,NEG,45.08,-101.72,b
202409011113,LGT RIME 260-280,35.0611,-89.985,g
202409011114,LIGHT CHOP,26.173,-80.0573,k
202409011115,OCNL LGT CHOP,38.75,-82.03,g
202409011116,INTMT LGT,32.6281,-83.9362,g
202409011116,NEG,60.6366,-146.7157,b
202409011117,NEG,33.6301,-84.7421,b
202409011117,SMOOTH,28.3483,-81.3252,k
202409011117,OCNL LGT CHOP,23.0691,-71.4523,g
202409011118,LGT CHOP,35.0214,-82.8341,g
202409011118,LGT CAT 240,42.1267,-71.84,g
202409011119,NEG,35.79,-83.05,b
202409011119,NEG,33.4146,-86.6425,b
202409011119,NEG,35.0353,-85.2038,b
202409011122,LGT 200-220,32.3006,-86.394,g
202409011124,OCNL LGT CHOP,41.4254,-96.0247,g
202409011125,NEG,31.8123,-79.9824,b
202409011126,NEG,28.1995,-85.9135,b
202409011126,LGT OCNL MOD,35.4038,-81.0578,g
202409011127,NEG,45.7227,-87.0937,b
202409011127,NEG,25.9158,-81.0793,b
202409011132,OCNL LGT CHOP,34.313,-79.8534,g
202409011134,NEG,26.7515,-79.7148,b
202409011138,LGT CHOP,26.6538,-82.4906,g
202409011143,NEG,28.7628,-81.309,b
202409011146,LGT BLO 160 SMOOTH ABV 165,40.149,-74.2166,g
202409011147,LGT CHOP,38.16,-82.91,g
202409011148,CONS LGT CHOP,35.0613,-84.449,g
202409011148,NEG,33.2596,-86.8131,b
202409011148,NEG,46.2633,-98.68,b
202409011148,CONS LGT CHOP,34.507,-84.225,g
202409011152,LGT CHOP,35.9,-83.4785,g
202409011200,NEG,39.4404,-83.0231,b
202409011200,NEG,46.7727,-100.7458,b
202409011200,NEG,27.1175,-79.3242,b
202409011201,OCNL LGT CHOP,38.3618,-81.2523,g
202409011201,CONS LGT CHOP,34.2474,-86.4994,g
202409011202,LGT CHOP,33.67,-86.9,g
202409011203,OCNL LGT CHOP,29.7799,-86.52,g
202409011204,NEG,35.41,-82.27,b
202409011204,NEG,34.8,-87.036,b
202409011205,NEG,34.7,-83.3,b
202409011206,LGT CHOP,27.8401,-80.5928,g
202409011207,OCNL LGT,27.1014,-79.2916,g
202409011208,NEG,41.9381,-72.7945,b
202409011211,NEG,40.9114,-103.8685,b
202409011211,NEG,26.6599,-82.6874,b
202409011213,NEG,41.874,-103.5956,b
202409011214,NEG,41.2623,-88.4618,b
202409011215,LGT CAT 190-160,29.3006,-81.1136,g
202409011215,CONS LGT CHOP,37.2723,-100.1749,g
202409011218,NEG,36.9523,-86.6892,b
202409011218,NEG,26.6912,-79.0851,b
202409011221,NEG 230,26.7917,-78.2155,b
202409011223,LGT CHOP,27.305,-80.4,g
202409011229,NEG CHOP,35.0611,-89.3741,b
202409011230,NEG,24.1965,-76.3934,b
202409011231,LGT MOD CHOP 200-160 DURD,35.5296,-85.9596,g
202409011234,CONS LGT CHOP,38.7966,-85.82,g
202409011235,NEG,40.7762,-104.7042,b
202409011235,LGT,52.4833,167.7,g
202409011236,MOD 220,45.1235,-122.2632,y
202409011240,CONS LGT CHOP 290,32.21,-83.5,g
202409011241,LGT OCNL CHOP,41.4004,-77.9167,g
202409011242,CONT LGT CHOP,37.3575,-78.4378,g
202409011245,NEG,35.5594,-85.2132,b
202409011245,NEG,21.9216,-72.8293,b
202409011246,OCNL GLT CHOP,34.7611,-80.4267,k
202409011247,OCNL LGT CHOP,34.42,-82.78,g
